file,title,author,pgid,anger,disgust,fear,joy,neutral,sadness,surprise
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_Man_Who_Did_the_Right_Thing_A_Romance__Johnston_Harry__pg45451.txt,The Man Who Did the Right Thing A Romance,Johnston Harry,45451,0.11229838894666551,0.1787080913304935,0.17687259077073517,0.111607588735571,0.21412372200154145,0.14224372833298263,0.06414588826719132
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_Mysteries_of_Udolpho__Radcliffe_Ann_Ward__pg3268.txt,The Mysteries of Udolpho,Radcliffe Ann Ward,3268,0.0962139617864194,0.12153172980424533,0.33081857748992366,0.09582989631208075,0.08189597885076697,0.18884366042764733,0.0848661945759689
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_Prairie_Wife__Stringer_Arthur__pg18875.txt,The Prairie Wife,Stringer Arthur,18875,0.0961433364591824,0.1824630754910266,0.1650443052770779,0.08073198714145036,0.24763148753062034,0.1207965170376552,0.10718929212695609
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_Secret_of_Chimneys__Christie_Agatha__pg65238.txt,The Secret of Chimneys,Christie Agatha,65238,0.09387240550811533,0.20649159856893506,0.18302431656754897,0.042358656910794275,0.29872763672599867,0.05002549370896576,0.12549988935656942
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_Silent_Barrier__Tracy_Louis__pg31635.txt,The Silent Barrier,Tracy Louis,31635,0.1555029656143789,0.16287144944003576,0.1794561528828225,0.09274268629739088,0.21071906944310145,0.08817681222306525,0.11053085696340878
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_tale_of_Genji__Murasaki_Shikibu__pg66057.txt,The tale of Genji,Murasaki Shikibu,66057,0.09860698097601725,0.19805642649957253,0.20815197626618484,0.07773818258669234,0.12372300408952919,0.2171855400970166,0.07653788775553615
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\The_Younger_Set__Chambers_Robert_W._Robert_William__pg14852.txt,The Younger Set,Chambers Robert W. Robert William,14852,0.16484746890690744,0.1749520617102485,0.2423611904518042,0.09429717223473848,0.15496502420305028,0.08885009713954281,0.07972698219627425
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\Thuvia_Maid_of_Mars__Burroughs_Edgar_Rice__pg72.txt,Thuvia Maid of Mars,Burroughs Edgar Rice,72,0.18776282772025163,0.19161081375398983,0.31873126607733193,0.04059546751798027,0.15430199530717262,0.050365588669147754,0.05663204271156617
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\Torchy_and_Vee__Ford_Sewell__pg20628.txt,Torchy and Vee,Ford Sewell,20628,0.14518979441241495,0.17029239327802778,0.0858574788171564,0.05289131153794693,0.3639636418135295,0.06255430150478895,0.11925108156228906
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\Victorian_Short_Stories_Stories_of_Courtship__Unknown__pg15381.txt,Victorian Short Stories Stories of Courtship,Unknown,15381,0.16111427877670226,0.17139636566048688,0.21240603033842032,0.07318731361392035,0.17799466598871644,0.10465267668500795,0.09924867300337036
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\Wanderfoot_The_Dream_Ship__Stockley_Cynthia__pg40059.txt,Wanderfoot The Dream Ship,Stockley Cynthia,40059,0.15933605782639093,0.16090552925324184,0.17715838249284768,0.10403519973017365,0.1340227956480396,0.19570023110036164,0.0688418076533226
C:\Users\vedan\PycharmProjects\Natural-Language-Processing-for-Digital-Humanities\data\literature\Literature_Romance\What_Will_People_Say_A_Novel__Hughes_Rupert__pg38311.txt,What Will People Say A Novel,Hughes Rupert,38311,0.16015245350378035,0.22871603120132525,0.20724681193923206,0.06536494022327481,0.15334770194076386,0.11164558626995334,0.0735264721997822
